time,sv,doppler
2026-01-11 00:55:26.000,G01,-3655.264
2026-01-11 00:55:28.000,G01,-3655.292
2026-01-11 00:55:30.000,G01,-3655.79
2026-01-11 00:55:32.000,G01,-3655.181
2026-01-11 00:55:34.000,G01,-3656.571
2026-01-11 00:55:36.000,G01,-3657.023
2026-01-11 00:55:38.000,G01,-3656.908
2026-01-11 00:55:40.000,G01,-3658.54
2026-01-11 00:55:42.000,G01,-3657.739
2026-01-11 00:55:44.000,G01,-3657.307
2026-01-11 00:55:46.000,G01,-3658.934
2026-01-11 00:55:48.000,G01,-3659.614
2026-01-11 00:55:50.000,G01,-3658.75
2026-01-11 00:55:52.000,G01,-3660.268
2026-01-11 00:55:54.000,G01,-3659.782
2026-01-11 00:55:56.000,G01,-3660.547
2026-01-11 00:55:58.000,G01,-3660.592
2026-01-11 00:56:00.000,G01,-3661.763
2026-01-11 00:56:02.000,G01,-3662.353
2026-01-11 00:56:04.000,G01,-3662.02
2026-01-11 00:56:06.000,G01,-3662.286
2026-01-11 00:56:08.000,G01,-3663.594
2026-01-11 00:56:10.000,G01,-3663.256
2026-01-11 00:56:12.000,G01,-3663.73
2026-01-11 00:56:14.000,G01,-3664.715
2026-01-11 00:56:16.000,G01,-3664.415
2026-01-11 00:56:18.000,G01,-3664.742
2026-01-11 00:56:20.000,G01,-3665.364
2026-01-11 00:56:22.000,G01,-3667.117
2026-01-11 00:56:24.000,G01,-3667.408
2026-01-11 00:56:26.000,G01,-3667.113
2026-01-11 00:56:28.000,G01,-3666.217
2026-01-11 00:56:30.000,G01,-3668.015
2026-01-11 00:56:32.000,G01,-3667.773
2026-01-11 00:56:34.000,G01,-3667.781
2026-01-11 00:56:36.000,G01,-3668.828
2026-01-11 00:56:38.000,G01,-3669.008
2026-01-11 00:56:40.000,G01,-3669.813
2026-01-11 00:56:42.000,G01,-3669.424
2026-01-11 00:56:44.000,G01,-3669.807
2026-01-11 00:56:46.000,G01,-3670.665
2026-01-11 00:56:48.000,G01,-3670.256
2026-01-11 00:56:50.000,G01,-3671.334
2026-01-11 00:56:52.000,G01,-3672.312
2026-01-11 00:56:54.000,G01,-3671.725
2026-01-11 00:56:56.000,G01,-3672.036
2026-01-11 00:56:58.000,G01,-3673.188
2026-01-11 00:57:00.000,G01,-3674.04
2026-01-11 00:57:02.000,G01,-3673.54
2026-01-11 00:57:04.000,G01,-3675.307
2026-01-11 00:57:06.000,G01,-3674.552
2026-01-11 00:57:08.000,G01,-3674.601
2026-01-11 00:57:10.000,G01,-3675.672
2026-01-11 00:57:12.000,G01,-3675.648
2026-01-11 00:57:14.000,G01,-3675.911
2026-01-11 00:57:16.000,G01,-3676.372
2026-01-11 00:57:18.000,G01,-3675.83
2026-01-11 00:57:20.000,G01,-3677.548
2026-01-11 00:57:22.000,G01,-3677.387
2026-01-11 00:57:24.000,G01,-3677.982
2026-01-11 00:57:26.000,G01,-3678.446
2026-01-11 00:57:28.000,G01,-3678.696
2026-01-11 00:57:30.000,G01,-3678.917
2026-01-11 00:57:32.000,G01,-3679.64
2026-01-11 00:57:34.000,G01,-3681.101
2026-01-11 00:57:36.000,G01,-3679.5
2026-01-11 00:57:38.000,G01,-3680.425
2026-01-11 00:57:40.000,G01,-3680.671
2026-01-11 00:57:42.000,G01,-3681.583
2026-01-11 00:57:44.000,G01,-3681.432
2026-01-11 00:57:46.000,G01,-3682.561
2026-01-11 00:57:48.000,G01,-3682.718
2026-01-11 00:57:50.000,G01,-3682.057
2026-01-11 00:57:52.000,G01,-3682.739
2026-01-11 00:57:54.000,G01,-3683.495
2026-01-11 00:57:56.000,G01,-3683.785
2026-01-11 00:57:58.000,G01,-3684.308
2026-01-11 00:58:00.000,G01,-3684.641
2026-01-11 00:58:02.000,G01,-3685.752
2026-01-11 00:58:04.000,G01,-3684.326
2026-01-11 00:58:06.000,G01,-3686.043
2026-01-11 00:58:08.000,G01,-3686.754
2026-01-11 00:58:10.000,G01,-3687.391
2026-01-11 00:58:12.000,G01,-3687.706
2026-01-11 00:58:14.000,G01,-3687.53
2026-01-11 00:58:16.000,G01,-3687.515
2026-01-11 00:58:18.000,G01,-3687.785
2026-01-11 00:58:20.000,G01,-3688.55
2026-01-11 00:58:22.000,G01,-3688.908
2026-01-11 00:58:24.000,G01,-3689.615
2026-01-11 00:58:26.000,G01,-3688.873
2026-01-11 00:58:28.000,G01,-3690.965
2026-01-11 00:58:30.000,G01,-3690.297
2026-01-11 00:58:32.000,G01,-3690.284
2026-01-11 00:58:34.000,G01,-3690.348
2026-01-11 00:58:36.000,G01,-3690.873
2026-01-11 00:58:38.000,G01,-3691.856
2026-01-11 00:58:40.000,G01,-3693.555
2026-01-11 00:58:42.000,G01,-3692.038
2026-01-11 00:58:44.000,G01,-3693.306
2026-01-11 00:58:46.000,G01,-3694.053
2026-01-11 00:58:48.000,G01,-3693.497
2026-01-11 00:58:50.000,G01,-3694.467
2026-01-11 00:58:52.000,G01,-3694.454
2026-01-11 00:58:54.000,G01,-3693.774
2026-01-11 00:58:56.000,G01,-3695.479
2026-01-11 00:58:58.000,G01,-3695.676
2026-01-11 00:59:00.000,G01,-3695.778
2026-01-11 00:59:02.000,G01,-3696.459
2026-01-11 00:59:04.000,G01,-3696.897
2026-01-11 00:59:06.000,G01,-3697.147
2026-01-11 00:59:08.000,G01,-3698.079
2026-01-11 00:59:10.000,G01,-3697.701
2026-01-11 00:59:12.000,G01,-3697.608
2026-01-11 00:59:14.000,G01,-3698.271
2026-01-11 00:59:16.000,G01,-3698.755
2026-01-11 00:59:18.000,G01,-3698.94
2026-01-11 00:59:20.000,G01,-3699.23
2026-01-11 00:59:22.000,G01,-3701.176
2026-01-11 00:59:24.000,G01,-3700.094
2026-01-11 00:59:26.000,G01,-3700.3
2026-01-11 00:59:28.000,G01,-3700.833
2026-01-11 00:59:30.000,G01,-3700.617
2026-01-11 00:59:32.000,G01,-3702.307
2026-01-11 00:59:34.000,G01,-3702.522
2026-01-11 00:59:36.000,G01,-3703.119
2026-01-11 00:59:38.000,G01,-3702.548
2026-01-11 00:59:40.000,G01,-3703.334
2026-01-11 00:59:42.000,G01,-3703.571
2026-01-11 00:59:44.000,G01,-3704.397
2026-01-11 00:59:46.000,G01,-3703.541
2026-01-11 00:59:48.000,G01,-3705.798
2026-01-11 00:59:50.000,G01,-3703.579
2026-01-11 00:59:52.000,G01,-3705.934
2026-01-11 00:59:54.000,G01,-3707.018
2026-01-11 00:59:56.000,G01,-3706.454
2026-01-11 00:59:58.000,G01,-3705.406
2026-01-11 01:00:00.000,G01,-3707.114
2026-01-11 01:00:02.000,G01,-3706.152
2026-01-11 01:00:04.000,G01,-3706.491
2026-01-11 01:00:06.000,G01,-3708.915
2026-01-11 01:00:08.000,G01,-3707.78
2026-01-11 01:00:10.000,G01,-3706.92
2026-01-11 01:00:12.000,G01,-3708.569
2026-01-11 01:00:14.000,G01,-3709.572
2026-01-11 01:00:16.000,G01,-3710.141
2026-01-11 01:00:18.000,G01,-3709.369
2026-01-11 01:00:20.000,G01,-3709.732
2026-01-11 01:00:22.000,G01,-3710.773
2026-01-11 01:00:24.000,G01,-3711.117
2026-01-11 01:00:26.000,G01,-3712.472
2026-01-11 01:00:28.000,G01,-3712.972
2026-01-11 01:00:30.000,G01,-3712.302
2026-01-11 01:00:32.000,G01,-3712.967
2026-01-11 01:00:34.000,G01,-3712.938
2026-01-11 01:00:36.000,G01,-3713.464
2026-01-11 01:00:38.000,G01,-3713.396
2026-01-11 01:00:40.000,G01,-3713.361
2026-01-11 01:00:42.000,G01,-3714.274
2026-01-11 01:00:44.000,G01,-3714.419
2026-01-11 01:00:46.000,G01,-3715.004
2026-01-11 01:00:48.000,G01,-3715.786
2026-01-11 01:00:50.000,G01,-3715.398
2026-01-11 01:00:52.000,G01,-3716.05
2026-01-11 01:00:54.000,G01,-3716.008
2026-01-11 01:00:56.000,G01,-3715.694
2026-01-11 01:00:58.000,G01,-3716.994
2026-01-11 01:01:00.000,G01,-3718.11
2026-01-11 01:01:02.000,G01,-3717.795
2026-01-11 01:01:04.000,G01,-3718.627
2026-01-11 01:01:06.000,G01,-3718.049
2026-01-11 01:01:08.000,G01,-3719.393
2026-01-11 01:01:10.000,G01,-3718.736
2026-01-11 01:01:12.000,G01,-3719.205
2026-01-11 01:01:14.000,G01,-3720.294
2026-01-11 01:01:16.000,G01,-3721.258
2026-01-11 01:01:18.000,G01,-3719.669
2026-01-11 01:01:20.000,G01,-3721.06
2026-01-11 01:01:22.000,G01,-3721.123
2026-01-11 01:01:24.000,G01,-3720.659
2026-01-11 01:01:26.000,G01,-3721.9
2026-01-11 01:01:28.000,G01,-3723.036
2026-01-11 01:01:30.000,G01,-3722.02
2026-01-11 01:01:32.000,G01,-3723.621
2026-01-11 01:01:34.000,G01,-3723.806
2026-01-11 01:01:36.000,G01,-3723.785
2026-01-11 01:01:38.000,G01,-3723.263
2026-01-11 01:01:40.000,G01,-3724.014
2026-01-11 01:01:42.000,G01,-3725.534
2026-01-11 01:01:44.000,G01,-3724.975
2026-01-11 01:01:46.000,G01,-3724.79
2026-01-11 01:01:48.000,G01,-3725.861
2026-01-11 01:01:50.000,G01,-3725.32
2026-01-11 01:01:52.000,G01,-3726.656
2026-01-11 01:01:54.000,G01,-3726.798
2026-01-11 01:01:56.000,G01,-3727.743
2026-01-11 01:01:58.000,G01,-3727.547
2026-01-11 01:02:00.000,G01,-3727.486
